,Restaurant,Ranking,Reviews,Price,Range_price,Cousine_type,Address,Phone,Site,Area,Near,Url
1124,The Michael Collins,"4,0 ",113 recensioni,€,,,"Piazza Della Signoria 30R, 50122, Firenze Italia",+39 055 295232,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d4736580-Reviews-The_Michael_Collins-Florence_Tuscany.html
1125,Jazz Bistrot - Ristorante Caffetteria Pasticceria,"4,5 ",78 recensioni,€€-€€€,,,"Via Aretina, 57/C, 50136, Firenze Italia",+39 055 677391,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d3971338-Reviews-Jazz_Bistrot_Ristorante_Caffetteria_Pasticceria-Florence_Tuscany.html
1126,Bar Bonaugo,"4,5 ",168 recensioni,€,,,"Via Dei Servi 60r, 50122, Firenze Italia",+39 055 281185,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d6748821-Reviews-Bar_Bonaugo-Florence_Tuscany.html
1127,Rosalia salad gourmet,"4,5 ",51 recensioni,€€-€€€,,,"Piazza Giovanni Spadolini 6 Zona Universitaria Novoli, 50127, Firenze Italia",+39 320 706 9331,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d14063606-Reviews-Rosalia_salad_gourmet-Florence_Tuscany.html
1128,Pizzeria Amalfitana,"4,0 ",243 recensioni,€€-€€€,,,"Via della Mattonaia 51, 50121, Firenze Italia",+39 055 234 2401,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d1979069-Reviews-Pizzeria_Amalfitana-Florence_Tuscany.html
1129,Le Pavoniere,"4,0 ",177 recensioni,€€-€€€,,,"Viale della Catena 2, 50144, Firenze Italia",+39 392 172 4859,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d2269111-Reviews-Le_Pavoniere-Florence_Tuscany.html
1130,Pescheria Ultima Spiaggia,"4,5 ",76 recensioni,€,,,"Interno Mercato Centrale, Firenze Italia",,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d3670409-Reviews-Pescheria_Ultima_Spiaggia-Florence_Tuscany.html
1131,La Piazzetta,"4,0 ",783 recensioni,€€-€€€,,,"Via di Ripoli 167 Angolo Viale Europa, 50126, Firenze Italia",+39 055 680 0253,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d2057153-Reviews-La_Piazzetta-Florence_Tuscany.html
1132,Hippopiada,"4,5 ",61 recensioni,€,,,"Via S. Verdiana, 6r, Firenze Italia",+39 055 246 9013,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d7243417-Reviews-Hippopiada-Florence_Tuscany.html
1133,Ristorante  Gran Caffè San Marco,"4,0 ",278 recensioni,€€-€€€,,,"Piazza di San Marco 11/R, 50121, Firenze Italia",+39 346 599 0189,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d1550811-Reviews-Ristorante_Gran_Caffe_San_Marco-Florence_Tuscany.html
1134,Koi Sushi e Korean Grill,"4,0 ",253 recensioni,€€-€€€,,,"Piazza Annigoni Pietro, 11, 50122, Firenze Italia",+39 055 243318,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d12596404-Reviews-Ristorante_Giapponese_Koi-Florence_Tuscany.html
1135,Biancorosso,"4,0 ",101 recensioni,€€-€€€,,,"Via Maurizio Bufalini 9r, 50122, Firenze Italia",+39 055 218956,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d5964398-Reviews-Biancorosso-Florence_Tuscany.html
1136,Pizza a Foho,"4,0 ",263 recensioni,€,,,"Viale Corsica 2/R, 50127, Firenze Italia",+39 055 360493,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d2295589-Reviews-Pizza_a_Foho-Florence_Tuscany.html
1137,Pappa e Ciccia,"4,5 ",59 recensioni,€,,,"Via Torcicoda 103R Isolotto, 50142, Firenze Italia",+39 055 706768,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d6774954-Reviews-Pappa_e_Ciccia-Florence_Tuscany.html
1138,Kaleo Art Caffè,"4,5 ",49 recensioni,€€-€€€,,,"Piazza del Duomo 57r Angolo via dello studio, 50122, Firenze Italia",+39 055 493 4656,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d17383984-Reviews-Kaleo_Art_Caffe-Florence_Tuscany.html
1139,Trattoria Calandrino,"4,5 ",37 recensioni,€€-€€€,,,"Via San Gallo 107r, 50129, Firenze Italia",+39 055 068 3325,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d12346929-Reviews-Trattoria_Calandrino-Florence_Tuscany.html
1140,La Bottega di Settignano,"5,0 ",28 recensioni,€€-€€€,,,"Piazza Niccolo' Tommaseo 10/R, 50135 Settignano, Firenze Italia",+39 055 697028,,,,https://www.tripadvisor.it/Restaurant_Review-g681248-d14088434-Reviews-La_Bottega_di_Settignano-Settignano_Florence_Tuscany.html
1141,Dal bollito alla brace,"4,5 ",33 recensioni,€€-€€€,,,"Via Giuseppe Galliano 150/A, 50144, Firenze Italia",+39 055 627 6727,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d14797830-Reviews-Dal_bollito_alla_brace-Florence_Tuscany.html
1142,Osteria Battipalla,"4,0 ",229 recensioni,€€-€€€,,,"Piazza di Santa Croce 12, 50122, Firenze Italia",+39 055 246 6027,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d5861329-Reviews-Osteria_Battipalla-Florence_Tuscany.html
1143,Fish House,"4,0 ",265 recensioni,€€-€€€,,,"Via del Ponte Alle Mosse 15/R Largo Gabbuggiani, 50144, Firenze Italia",+39 055 367172,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d4340608-Reviews-Fish_House-Florence_Tuscany.html
1144,Viktoria Lounge Bar,"4,0 ",143 recensioni,€€-€€€,,,"Via Verdi 28r, Firenze Italia",+39 340 498 5024,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d1958731-Reviews-Viktoria_Lounge_Bar-Florence_Tuscany.html
1145,Palazzo Borghese,"4,5 ",85 recensioni,€€-€€€,,,"Via Ghibellina, 110, 50122, Firenze Italia",+39 055 239 6293,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d7103871-Reviews-Palazzo_Borghese-Florence_Tuscany.html
1146,Avanti Pizza e Grill - Ristorante Arabo,"5,0 ",28 recensioni,€€-€€€,,,"Via S. Pier Maggiore, 6/R, 50122, Firenze Italia",+39 055 269 3112,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d15143215-Reviews-Avanti_Pizza_e_Grill_Ristorante_Arabo-Florence_Tuscany.html
1147,Enoteca de' Macci,"4,5 ",102 recensioni,€,,,"Via dei Macci, 92/R Corner Via Mino, 4/6/8/R, 50122, Firenze Italia",+39 055 051 0527,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d5063820-Reviews-Enoteca_de_Macci-Florence_Tuscany.html
1148,"The Green Store Pub ""La Guerrina""","4,0 ",85 recensioni,€,,,"Viale Malta, 1/R, 50137, Firenze Italia",+39 055 677124,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d8625721-Reviews-The_Green_Store_Pub_La_Guerrina-Florence_Tuscany.html
1149,Enoteca La Sosta del Rossellino,"4,0 ",253 recensioni,€€-€€€,,,"Via del Rossellino, 50135 Settignano, Firenze Italia",+39 055 697245,,,,https://www.tripadvisor.it/Restaurant_Review-g681248-d1647861-Reviews-Enoteca_La_Sosta_del_Rossellino-Settignano_Florence_Tuscany.html
1150,Chalet il Boschetto,"5,0 ",38 recensioni,€,,,"Piazzale Michelangelo, 50125, Firenze Italia",,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d4444001-Reviews-Chalet_il_Boschetto-Florence_Tuscany.html
1151,Hama 3,"3,5 ",333 recensioni,€,,,"Via San Gallo 65R, 50129, Firenze Italia",+39 055 482892,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d7691276-Reviews-Hama_3-Florence_Tuscany.html
1152,FastSud,"4,5 ",94 recensioni,€€-€€€,,,"Via Pier Capponi 34 R Piazza della Libertà, 50132, Firenze Italia",+39 055 584755,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d15668957-Reviews-FastSud-Florence_Tuscany.html
1153,’A Puteca,"4,0 ",86 recensioni,€€-€€€,,,"Via Vincenzo Gioberti, 170, 50121, Firenze Italia",+39 055 202 5712,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d16663427-Reviews-A_Puteca-Florence_Tuscany.html
1154,Oliandolo Caffè Ristoro,"4,0 ",187 recensioni,€,,,"Via Ricasoli, 38-40R, 50122, Firenze Italia",+39 055 211296,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d1319869-Reviews-Oliandolo_Caffe_Ristoro-Florence_Tuscany.html
1155,La taverna di Poldo 1995,"4,5 ",111 recensioni,€,,,"Via Antonio del Pollaiolo 148, 50142, Firenze Italia",+39 055 712362,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d4829364-Reviews-La_taverna_di_Poldo_1995-Florence_Tuscany.html
1156,Brasserie La Chouette,"4,5 ",107 recensioni,€€-€€€,,,"Piazza Nazario Sauro 4r, 50100, Firenze Italia",+39 055 658 7238,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d8001796-Reviews-Brasserie_La_Chouette-Florence_Tuscany.html
1157,Osteria De' Peccatori,"3,5 ",1.417 recensioni,€€-€€€,,,"Piazza di San Firenze 14/r, 50122, Firenze Italia",+39 055 287462,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d1483376-Reviews-Osteria_De_Peccatori-Florence_Tuscany.html
1158,Rivarno Café - Duomo,"5,0 ",23 recensioni,€€-€€€,,,"Piazza di Santa Maria Maggiore, 7 Rosso, 50123, Firenze Italia",+39 055 709 2601,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d21074502-Reviews-Rivarno_Cafe_Duomo-Florence_Tuscany.html
1159,Caffè Gilli,"3,5 ",2.604 recensioni,€€-€€€,,,"Piazza della Repubblica 39R, 50123, Firenze Italia",+39 055 213896,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d696487-Reviews-Caffe_Gilli-Florence_Tuscany.html
1160,URBANO,"5,0 ",21 recensioni,€€-€€€,,,"Via Pisana 41r, 50143, Firenze Italia",+39 055 205 3372,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d19719359-Reviews-Urbano_food_spirits-Florence_Tuscany.html
1161,Movida Pizzeria,"3,5 ",282 recensioni,€€-€€€,,,"Via Francesco Baracca 120/122, 50127, Firenze Italia",+39 055 422 1333,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d2370413-Reviews-Movida-Florence_Tuscany.html
1162,La Pasta Fresca,"4,0 ",111 recensioni,€€-€€€,,,"Via Dell'Ariento 47, 50123, Firenze Italia",,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d8511230-Reviews-La_Pasta_Fresca-Florence_Tuscany.html
1163,Pizzaman,"4,0 ",71 recensioni,€€-€€€,,,"Via Rocca Tedalda 411, Firenze Italia",+39 055 691756,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d13568034-Reviews-Pizzaman-Florence_Tuscany.html
1164,La Gioconda guarda Napoli,"4,0 ",346 recensioni,€€-€€€,,,"Via Degli Arcipressi, 2/R, 50143, Firenze Italia",+39 055 711800,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d2271987-Reviews-La_Gioconda_guarda_Napoli-Florence_Tuscany.html
1165,Ristorante Nirvana,"4,0 ",164 recensioni,€€-€€€,,,"Via il Prato 4/b, 50123, Firenze Italia",+39 346 638 1015,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d12499896-Reviews-Ristorante_Nirvana-Florence_Tuscany.html
1166,La bottega di Parigi,"4,0 ",115 recensioni,€€€€,,,"Via del Terzollina 3/R, 50139, Firenze Italia",+39 055 094 4388,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d10112916-Reviews-La_bottega_di_Parigi-Florence_Tuscany.html
1167,Il Ristorantino di Pesce,"4,0 ",92 recensioni,€€-€€€,,,"Via del podestà 29R, 50125, Firenze Italia",+39 055 709 4042,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d13119320-Reviews-Il_Ristorantino_di_Pesce-Florence_Tuscany.html
1168,La Sanagola,"4,5 ",60 recensioni,€,,,"Via Leonardo da Vinci 29, 50132, Firenze Italia",+39 055 571257,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d7332575-Reviews-La_Sanagola-Florence_Tuscany.html
1169,Il Pesce Innamorato - Tradizione Campana,"5,0 ",22 recensioni,€,,,"Via del Ponte alle Mosse, 134/R, 50144, Firenze Italia",+39 393 847 7350,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d20104346-Reviews-Il_Pesce_Innamorato-Florence_Tuscany.html
1170,Livio Pizzeria Napoletana,"4,5 ",1.055 recensioni,€,,"Italiana, Pizza, Mediterranea, Europea, Napoletana, Campana, Italiana (sud)","Via Nazionale 77R Accanto alla TIM, 50123, Firenze Italia",+39 055 019 1159,,Centro storico di Firenze,"0,5 km da Centro Storico",https://www.tripadvisor.it/Restaurant_Review-g187895-d10636209-Reviews-Livio_Pizzeria_Napoletana-Florence_Tuscany.html
1171,Trattoria La Gratella,"4,5 ",1.186 recensioni,€€-€€€,,"Italiana, Steakhouse, Toscana, Italiana (centro)","Via Guelfa, 81R Centro Storico, Via Faenza, Fortezza Da Basso, Duomo, 50129, Firenze Italia",+39 055 211292,,Centro storico di Firenze,"0,6 km da Centro Storico",https://www.tripadvisor.it/Restaurant_Review-g187895-d1174489-Reviews-Trattoria_La_Gratella-Florence_Tuscany.html
1172,Osteria dell'Enoteca,"4,5 ",422 recensioni,€€-€€€,,"Italiana, Mediterranea, Toscana, Italiana (centro), Grill","Via Romana 70/R, 50125, Firenze Italia",+39 055 228 6018,,Centro storico di Firenze,"0,4 km da Palazzo Pitti",https://www.tripadvisor.it/Restaurant_Review-g187895-d12288960-Reviews-Osteria_dell_Enoteca-Florence_Tuscany.html
1173,Ristorante indiano Zafferano,"4,5 ",1.079 recensioni,€€-€€€,,"Indiana, Asiatica","Via Il Prato, 9/R, 50123, Firenze Italia",+39 055 285508,,Centro storico di Firenze,"0,6 km da Chiesa di Santa Maria Novella",https://www.tripadvisor.it/Restaurant_Review-g187895-d2052086-Reviews-Ristorante_Indiano_Zafferano-Florence_Tuscany.html
1174,Osteria al 3,"4,5 ",202 recensioni,€€-€€€,,"Italiana, Pizza, Toscana, Italiana (centro)","Piazza Dell' Indipendenza 3, 50129, Firenze Italia",+39 055 486752,,Centro storico di Firenze,"0,5 km da Galleria dell'Accademia di Firenze",https://www.tripadvisor.it/Restaurant_Review-g187895-d17425011-Reviews-Osteria_al_3-Florence_Tuscany.html
1175,Taverna del Bronzino,"4,5 ",652 recensioni,€€€€,,"Italiana, Contemporanea, Mediterranea, Toscana, Italiana (centro)","Via delle Ruote 27/r, 50129, Firenze Italia",+39 055 495220,,Centro storico di Firenze,"0,5 km da Galleria dell'Accademia di Firenze",https://www.tripadvisor.it/Restaurant_Review-g187895-d716414-Reviews-Taverna_Del_Bronzino-Florence_Tuscany.html
1176,La Capannina Bistrot,"4,5 ",484 recensioni,€,,"Italiana, Mediterranea, Europea, Toscana, Italiana (centro)","Via Sant'Antonino, 49/R, 50123, Firenze Italia",+39 328 227 7842,,Centro storico di Firenze,"0,4 km da Museo dell'Opera del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d1631685-Reviews-La_Capannina_Bistrot-Florence_Tuscany.html
1177,Come Dio Comanda,"4,5 ",246 recensioni,€,,"Italiana, Fast food, Toscana, Italiana (centro)","Via di San Niccolo' 69/R, 50125, Firenze Italia",+39 380 189 9754,,Oltrarno,"0,4 km da Piazzale Michelangelo",https://www.tripadvisor.it/Restaurant_Review-g187895-d4339522-Reviews-Come_Dio_Comanda-Florence_Tuscany.html
1178,I’Brindellone,"4,5 ",2.235 recensioni,€€-€€€,,,"Piazza Piattellina 10/11/R, 50124, Firenze Italia",+39 055 217879,,San Frediano,"0,6 km da Palazzo Pitti",https://www.tripadvisor.it/Restaurant_Review-g187895-d1109363-Reviews-I_Brindellone-Florence_Tuscany.html
1179,Trattoria del Pennello,"4,5 ",264 recensioni,€€-€€€,,"Italiana, Salutistica","Via Dante Alighieri 4r, 50122, Firenze Italia",+39 055 294848,,Duomo,"0,2 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d1606672-Reviews-Trattoria_del_Pennello-Florence_Tuscany.html
1180,Haveli Indian Restaurant,"4,5 ",1.716 recensioni,€€-€€€,,"Indiana, Asiatica","Viale Fratelli Rosselli 31/33r Angolo Via Cittadella Porta a Prato, 50144, Firenze Italia",+39 055 355695,,Santa Maria Novella,"0,9 km da Chiesa di Santa Maria Novella",https://www.tripadvisor.it/Restaurant_Review-g187895-d696575-Reviews-Haveli_Indian_Restaurant-Florence_Tuscany.html
1181,i'tosto,"4,5 ",536 recensioni,€,,"Fast food, Internazionale, Italiana","Via dei Servi 8/R, 50122, Firenze Italia",+39 055 051 5280,,Duomo,"0,1 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d8427314-Reviews-I_tosto-Florence_Tuscany.html
1182,Pizzeria Stuzzicheria de Neri,"5,0 ",241 recensioni,€,,"Pizza, Fast food, Italiana, Europea, Toscana, Italiana (centro), Mediterranea","Via dei Neri, 18/R, 50122, Firenze Italia",+39 055 975 2852,,Centro storico di Firenze,"0,3 km da Gallerie Degli Uffizi",https://www.tripadvisor.it/Restaurant_Review-g187895-d6419810-Reviews-Pizzeria_Stuzzicheria_de_Neri-Florence_Tuscany.html
1183,Casa del Vino,"4,5 ",173 recensioni,€,,"Italiana, Wine Bar","Ariento 16/r Dietro i Bancarelli, Firenze Italia",+39 055 215609,,Centro storico di Firenze,"0,4 km da Museo dell'Opera del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d1088249-Reviews-Casa_del_Vino-Florence_Tuscany.html
1184,Trattoria Camillo Cavour,"4,5 ",483 recensioni,€€-€€€,,"Italiana, Europea, Toscana, Italiana (centro)","Via Cavour 41 / R, 50129, Firenze Italia",+39 055 267 0400,,Centro storico di Firenze,"0,3 km da Duomo - Cattedrale di Santa Maria dei Fiore",https://www.tripadvisor.it/Restaurant_Review-g187895-d3932575-Reviews-Trattoria_Camillo_Cavour-Florence_Tuscany.html
1185,La Cantinetta Osteria con Cucina,"4,5 ",2.111 recensioni,€€-€€€,,"Italiana, Mediterranea, Toscana, Italiana (centro)","via Borgo San Lorenzo 14r, 50122, Firenze Italia",+39 055 213525,,Centro storico di Firenze,"0,3 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d2237970-Reviews-La_Cantinetta_Osteria_con_Cucina-Florence_Tuscany.html
1186,Antica Trattoria da Tito,"4,5 ",6.443 recensioni,€€-€€€,,"Steakhouse, Italiana, Barbecue, Toscana, Italiana (centro)","Via San Gallo 112/R, 50129, Firenze Italia",+39 055 472475,,Centro storico di Firenze,"0,6 km da Galleria dell'Accademia di Firenze",https://www.tripadvisor.it/Restaurant_Review-g187895-d1908799-Reviews-Antica_Trattoria_da_Tito-Florence_Tuscany.html
1187,Ristorante Belcore,"4,5 ",623 recensioni,€€-€€€,,"Italiana, Mediterranea, Europea","Via Dell'Albero 28/30 Stazione SMN, 50123, Firenze Italia",+39 349 393 4288,,Centro storico di Firenze,"0,4 km da Chiesa di Santa Maria Novella",https://www.tripadvisor.it/Restaurant_Review-g187895-d1178738-Reviews-Ristorante_Belcore-Florence_Tuscany.html
1188,Osteria Il Buongustai,"4,5 ",1.035 recensioni,€,,"Italiana, Mediterranea, Toscana, Italiana (centro)","Via De' Cerchi 15r, 50122, Firenze Italia",+39 055 291304,,Duomo,"0,2 km da Palazzo Vecchio",https://www.tripadvisor.it/Restaurant_Review-g187895-d1023837-Reviews-Osteria_Il_Buongustai-Florence_Tuscany.html
1189,Porta Romana • Pizza e Grill,"4,5 ",403 recensioni,€€-€€€,,"Italiana, Steakhouse, Pizza, Mediterranea, Pesce, Napoletana, Campana, Toscana, Italiana (centro), Italiana (sud)","Via Senese, 17e Porta Romana, 50124, Firenze Italia",+39 055 225232,,"1,0 km da Palazzo Pitti",Sito web,https://www.tripadvisor.it/Restaurant_Review-g187895-d13168297-Reviews-Porta_Romana_Pizza_e_Grill-Florence_Tuscany.html
1190,La Prosciutteria Firenze,"4,5 ",5.857 recensioni,€,,"Cibo di strada, Italiana, Mediterranea, Toscana, Italiana (centro)","Via de’ Neri, 54Rosso, 50122, Firenze Italia",+39 055 265 4472,,Centro storico di Firenze,"0,2 km da Gallerie Degli Uffizi",https://www.tripadvisor.it/Restaurant_Review-g187895-d3346391-Reviews-La_Prosciutteria_Firenze-Florence_Tuscany.html
1191,Parione,"4,5 ",2.006 recensioni,€€-€€€,,"Italiana, Mediterranea, Europea, Toscana, Italiana (centro)","Via del Parione 74/76/r, 50123, Firenze Italia",+39 055 214005,,Duomo,"0,3 km da Chiesa di Santa Maria Novella",https://www.tripadvisor.it/Restaurant_Review-g187895-d1319793-Reviews-Parione-Florence_Tuscany.html
1192,Francesco Vini,"4,5 ",1.015 recensioni,€€-€€€,,"Italiana (nord), Italiana","Borgo dei Greci 7/R Piazza dei Peruzzi 8/R, 50122, Firenze Italia",+39 055 218737,,Centro storico di Firenze,"0,3 km da Palazzo Vecchio",https://www.tripadvisor.it/Restaurant_Review-g187895-d1899654-Reviews-Francesco_Vini-Florence_Tuscany.html
1193,Ristorante Il Granaio,"4,5 ",553 recensioni,€€-€€€,,"Italiana, Mediterranea, Europea, Toscana, Italiana (centro)","Via Dei Tavolini 14/R, 50122, Firenze Italia",+39 055 291027,,Duomo,"0,2 km da Palazzo Vecchio",https://www.tripadvisor.it/Restaurant_Review-g187895-d10185430-Reviews-Ristorante_Il_Granaio-Florence_Tuscany.html
1194,Bistrot 3 Tavoli,"4,5 ",259 recensioni,€€-€€€,,"Italiana, Mediterranea, Europea, Toscana, Pesce","Borgo San Frediano, 43/R, 50124, Firenze Italia",+39 391 117 3176,,San Frediano,"0,4 km da Piazza Santo Spirito",https://www.tripadvisor.it/Restaurant_Review-g187895-d9729383-Reviews-Bistrot_3_Tavoli-Florence_Tuscany.html
1195,Murales Bistro',"4,5 ",300 recensioni,€€-€€€,,"Contemporanea, Italiana, Pesce, Mediterranea, Fusion","Via Ghibellina 141 Rosso Davanti a Palazzo Borghese,a due passi da Piazza Santa Croce., 50122, Firenze Italia",+39 055 211743,,Duomo,"0,2 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d12448352-Reviews-Murales_Bistro-Florence_Tuscany.html
1196,Il Coccolo,"4,5 ",307 recensioni,€,,"Italiana, Gastronomia, Cibo di strada, Toscana, Italiana (centro)","Via Matteo Palmieri 30/R Vicino L'Arco di San Pierino, 50122, Firenze Italia",+39 055 068 4950,,Duomo,"0,3 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d10547519-Reviews-Il_Coccolo-Florence_Tuscany.html
1197,La Vecchia Maniera,"4,5 ",303 recensioni,€€-€€€,,"Italiana, Mediterranea, Toscana, Italiana (centro)","Borgo San Frediano 49R, 50124, Firenze Italia",+39 055 264 5499,,San Frediano,"0,4 km da Piazza Santo Spirito",https://www.tripadvisor.it/Restaurant_Review-g187895-d10181939-Reviews-La_Vecchia_Maniera-Florence_Tuscany.html
1198,Osteria dei Fiorentini,"4,5 ",219 recensioni,€€-€€€,,"Italiana, Mediterranea, Barbecue, Toscana, Italiana (centro)","Via Cimabue 1R Angolo con via Arnolfo 8r, 50121, Firenze Italia",+39 055 246 6781,,"0,8 km da Piazzale Michelangelo",Sito web,https://www.tripadvisor.it/Restaurant_Review-g187895-d13341255-Reviews-Osteria_dei_Fiorentini-Florence_Tuscany.html
1199,Trattoria Mario,"4,5 ",4.649 recensioni,€€-€€€,,,"Via Rosina 2r, 50123, Firenze Italia",+39 055 218550,,Centro storico di Firenze,"0,4 km da Museo dell'Opera del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d1088282-Reviews-Trattoria_Mario-Florence_Tuscany.html
1200,Un Caffe,"4,5 ",239 recensioni,€,,"Italiana, Bar, Caffè","Via Cesare Battisti 2/r, Firenze Italia",+39 347 373 4307,,Centro storico di Firenze,"0,1 km da Galleria dell'Accademia di Firenze",https://www.tripadvisor.it/Restaurant_Review-g187895-d3464472-Reviews-Un_Caffe-Florence_Tuscany.html
1201,Sweet Vino E Pescato,"4,5 ",452 recensioni,€€-€€€,,"Italiana, Pesce, Mediterranea","Via di Ripoli 8/10r, 50126, Firenze Italia",+39 055 658 7051,,"1,1 km da Piazzale Michelangelo",Sito web,https://www.tripadvisor.it/Restaurant_Review-g187895-d1913250-Reviews-Sweet_Vino_E_Pescato-Florence_Tuscany.html
1202,Trattoria Diladdarno,"4,5 ",1.095 recensioni,€€-€€€,,"Italiana, Mediterranea, Toscana, Italiana (centro)","Via dei Serragli, 108r, 50125, Firenze Italia",+39 055 224917,,San Frediano,"0,4 km da Palazzo Pitti",https://www.tripadvisor.it/Restaurant_Review-g187895-d1102497-Reviews-Trattoria_Diladdarno-Florence_Tuscany.html
1203,Trattoria Nella,"4,5 ",1.853 recensioni,€€-€€€,,"Italiana, Mediterranea, Toscana, Italiana (centro)","Via delle Terme, 19/R Vicino a Ponte vecchio tra piazza santa Trinità e via por santa maria, 50123, Firenze Italia",+39 338 253 7518,,Centro storico di Firenze,"0,3 km da Gallerie Degli Uffizi",https://www.tripadvisor.it/Restaurant_Review-g187895-d1392224-Reviews-Trattoria_Nella-Florence_Tuscany.html
1204,La Divina Enoteca,"4,5 ",260 recensioni,€€-€€€,,"Italiana, Wine Bar","Via Panicale 19/R, 50123, Firenze Italia",+39 055 292723,,Centro storico di Firenze,"0,4 km da Centro Storico",https://www.tripadvisor.it/Restaurant_Review-g187895-d2031689-Reviews-La_Divina_Enoteca-Florence_Tuscany.html
1205,Trippaio del Porcellino,"4,5 ",885 recensioni,€,,,"Piazza Del Mercato Nuovo Ang Via Capaccio, 50123, Firenze Italia",+39 335 807 0240,,Centro storico di Firenze,"0,2 km da Gallerie Degli Uffizi",https://www.tripadvisor.it/Restaurant_Review-g187895-d2477615-Reviews-Trippaio_del_Porcellino-Florence_Tuscany.html
1206,Boutique Della Pasta Fresca,"4,5 ",152 recensioni,€,,"Italiana, Mediterranea","Via Domenico Cirillo 2/c, 50133, Firenze Italia",+39 055 578087,,"1,4 km da Museo di San Marco",Sito web,https://www.tripadvisor.it/Restaurant_Review-g187895-d4481484-Reviews-Boutique_Della_Pasta_Fresca-Florence_Tuscany.html
1207,Mr.Sushi,"4,5 ",1.062 recensioni,€€-€€€,,"Giapponese, Pesce, Sushi, Asiatica","Piazza Primo Maggio 5/6 Brozzi Firenze, 50100, Firenze Italia",+39 380 902 0115,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d1815962-Reviews-Mr_Sushi_Firenze-Florence_Tuscany.html
1208,OLIVIA,"4,5 ",188 recensioni,€€-€€€,,"Italiana, Toscana, Italiana (centro), Contemporanea","Piazza Pitti, 14 R, 50125, Firenze Italia",+39 055 267 0359,,Oltrarno,"0,4 km da Ponte Vecchio",https://www.tripadvisor.it/Restaurant_Review-g187895-d11998073-Reviews-OLIVIA-Florence_Tuscany.html
1209,Osteria Vini e Vecchi Sapori,"4,5 ",2.320 recensioni,€€-€€€,,"Italiana, Mediterranea, Toscana, Italiana (centro)","Via Dei Magazzini 3R, 50122, Firenze Italia",+39 055 293045,,Centro storico di Firenze,"0,1 km da Palazzo Vecchio",https://www.tripadvisor.it/Restaurant_Review-g187895-d1110760-Reviews-Osteria_Vini_e_Vecchi_Sapori-Florence_Tuscany.html
